a_mm,b_mm,Pwr_UV_mW,Uni_UV_All,Uni_UV_Cen,Total_Loss,Valid
8.0,6.4,9.53,0.411,0.788,434.2669,True
3.0,6.6,18.96,0.41,0.724,434.5141,True
5.2,8.0,11.69,0.409,0.77,434.7203,True
5.4,8.0,11.39,0.41,0.77,435.4878,True
5.6,7.8,11.5,0.409,0.769,436.486,True
7.2,6.6,10.78,0.407,0.777,436.6461,True
4.6,8.0,12.57,0.402,0.769,436.6569,True
6.4,7.0,11.66,0.406,0.77,436.7098,True
4.2,7.8,13.64,0.4,0.762,436.7883,True
2.8,6.4,19.9,0.407,0.717,437.7914,True
6.8,6.8,11.24,0.405,0.773,438.0911,True
5.8,7.6,11.58,0.406,0.768,438.1979,True
6.2,7.2,11.66,0.405,0.769,438.3409,True
7.4,6.6,10.39,0.404,0.779,438.8125,True
6.0,7.4,11.64,0.404,0.768,438.8494,True
4.4,8.0,12.85,0.397,0.765,440.2223,True
5.0,8.2,11.54,0.4,0.772,440.2698,True
7.6,6.6,10.01,0.402,0.782,440.2991,True
2.6,6.2,20.85,0.405,0.711,440.3191,True
5.2,8.2,11.26,0.401,0.772,440.6073,True
4.8,8.2,11.82,0.397,0.772,440.6372,True
5.6,8.0,11.09,0.403,0.77,440.9657,True
7.8,6.6,9.64,0.402,0.785,441.1619,True
5.4,8.2,10.98,0.402,0.772,441.2865,True
6.6,7.0,11.28,0.4,0.771,441.35,True
8.0,6.6,9.29,0.402,0.788,441.3787,True
7.0,6.8,10.85,0.4,0.775,441.4409,True
3.8,7.6,14.75,0.395,0.75,441.8866,True
3.6,7.4,15.6,0.397,0.742,442.0436,True
2.4,6.0,21.79,0.403,0.705,442.5007,True
4.0,7.8,13.92,0.394,0.756,442.9565,True
5.8,7.8,11.18,0.399,0.769,443.131,True
6.4,7.2,11.29,0.398,0.77,443.4949,True
3.4,7.2,16.48,0.397,0.734,443.5286,True
4.6,8.2,12.09,0.394,0.768,443.571,True
7.2,6.8,10.47,0.397,0.777,444.0301,True
6.0,7.6,11.24,0.397,0.769,444.3436,True
2.2,5.8,22.73,0.402,0.7,444.438,True
6.2,7.4,11.28,0.396,0.769,444.494,True
5.6,8.2,10.69,0.398,0.772,444.6668,True
4.2,8.0,13.12,0.391,0.76,444.7013,True
6.8,7.0,10.9,0.395,0.773,445.1719,True
5.0,8.4,11.11,0.393,0.774,445.4225,True
5.2,8.4,10.84,0.394,0.773,445.6149,True
3.2,7.0,17.39,0.396,0.726,445.6235,True
7.4,6.8,10.1,0.395,0.779,445.9261,True
2.0,5.6,23.65,0.401,0.695,446.0786,True
5.4,8.4,10.57,0.395,0.773,446.1979,True
4.8,8.4,11.37,0.39,0.771,446.8494,True
4.4,8.2,12.36,0.389,0.764,447.1022,True
7.6,6.8,9.74,0.393,0.782,447.1625,True
5.8,8.0,10.78,0.394,0.771,447.294,True
5.6,8.4,10.3,0.395,0.773,447.5286,True
7.8,6.8,9.38,0.393,0.785,447.7603,True
8.0,6.8,9.04,0.393,0.788,447.761,True
6.6,7.2,10.93,0.392,0.771,447.8122,True
7.0,7.0,10.53,0.391,0.775,448.2343,True
3.0,6.8,18.3,0.394,0.718,448.6303,True
6.0,7.8,10.86,0.391,0.77,448.9976,True
6.4,7.4,10.93,0.39,0.77,449.3344,True
6.2,7.6,10.91,0.39,0.77,449.7046,True
4.6,8.4,11.63,0.387,0.768,449.7432,True
5.2,8.6,10.43,0.389,0.775,449.9342,True
5.0,8.6,10.68,0.387,0.775,449.9773,True
5.4,8.6,10.18,0.389,0.775,450.4148,True
7.2,7.0,10.17,0.388,0.777,450.5663,True
5.8,8.2,10.4,0.39,0.772,450.7063,True
4.0,8.0,13.39,0.385,0.754,451.1876,True
5.6,8.6,9.92,0.39,0.776,451.1971,True
3.8,7.8,14.19,0.386,0.747,451.3525,True
6.8,7.2,10.57,0.387,0.773,451.3715,True
4.2,8.2,12.61,0.384,0.759,451.8198,True
7.4,7.0,9.81,0.386,0.779,452.2226,True
4.8,8.6,10.93,0.384,0.771,452.3371,True
3.6,7.6,15.02,0.386,0.739,452.5457,True
2.8,6.6,19.24,0.391,0.711,452.6418,True
6.0,8.0,10.48,0.386,0.771,452.8937,True
7.6,7.0,9.46,0.385,0.782,453.2219,True
4.4,8.4,11.88,0.382,0.764,453.2712,True
5.8,8.4,10.02,0.387,0.774,453.3083,True
6.6,7.4,10.58,0.385,0.772,453.3958,True
8.0,7.0,8.79,0.385,0.788,453.4415,True
5.2,8.8,10.04,0.384,0.777,453.4916,True
7.8,7.0,9.12,0.385,0.785,453.5942,True
5.4,8.8,9.8,0.385,0.778,453.8879,True
6.2,7.8,10.54,0.384,0.771,454.0972,True
7.0,7.2,10.21,0.383,0.775,454.1738,True
6.4,7.6,10.57,0.384,0.771,454.2812,True
5.6,8.8,9.55,0.385,0.778,454.5622,True
5.0,8.8,10.28,0.382,0.775,454.619,True
3.4,7.4,15.88,0.385,0.73,454.8326,True
5.8,8.6,9.66,0.384,0.776,455.2061,True
4.6,8.6,11.18,0.381,0.767,455.233,True
2.6,6.4,20.17,0.388,0.704,455.9076,True
6.0,8.2,10.11,0.382,0.773,456.0284,True
7.2,7.2,9.87,0.381,0.777,456.2801,True
5.8,8.8,9.31,0.383,0.779,456.5273,True
5.2,9.0,9.66,0.38,0.779,456.5587,True
5.4,9.0,9.43,0.381,0.78,456.5763,True
6.8,7.4,10.24,0.38,0.773,456.7052,True
4.8,8.8,10.51,0.38,0.771,456.9783,True
5.6,9.0,9.2,0.382,0.78,457.1554,True
7.4,7.2,9.52,0.379,0.779,457.7004,True
6.2,8.0,10.18,0.38,0.772,457.7315,True
3.2,7.2,16.76,0.384,0.721,457.8056,True
5.8,9.0,8.97,0.382,0.781,457.8664,True
2.4,6.2,21.11,0.387,0.698,458.1182,True
6.6,7.6,10.24,0.379,0.773,458.1245,True
4.2,8.4,12.12,0.377,0.758,458.3368,True
6.0,8.4,9.75,0.38,0.775,458.3822,True
8.0,7.2,8.55,0.379,0.788,458.4206,True
5.0,9.0,9.88,0.378,0.775,458.4415,True
6.4,7.8,10.22,0.378,0.772,458.4464,True
7.6,7.2,9.19,0.378,0.782,458.4872,True
4.0,8.2,12.87,0.377,0.752,458.6528,True
7.8,7.2,8.87,0.378,0.785,458.7187,True
4.4,8.6,11.42,0.377,0.763,458.8144,True
7.0,7.4,9.9,0.377,0.775,459.2764,True
4.6,8.8,10.74,0.376,0.767,459.8792,True
3.8,8.0,13.64,0.377,0.744,459.8802,True
2.2,6.0,22.04,0.386,0.692,459.9118,True
6.0,8.6,9.4,0.378,0.777,460.078,True
6.2,8.2,9.82,0.376,0.774,460.6349,True
4.8,9.0,10.11,0.376,0.772,460.7935,True
7.2,7.4,9.57,0.374,0.778,461.1647,True
6.8,7.6,9.91,0.374,0.774,461.1966,True
6.0,8.8,9.06,0.377,0.779,461.2147,True
2.0,5.8,22.97,0.386,0.687,461.3128,True
3.0,7.0,17.66,0.38,0.713,461.641,True
6.0,9.0,8.74,0.376,0.782,461.7591,True
6.4,8.0,9.87,0.374,0.774,461.867,True
6.6,7.8,9.9,0.374,0.774,462.0601,True
3.6,7.8,14.45,0.376,0.735,462.1619,True
1.8,5.6,23.88,0.386,0.683,462.199,True
7.4,7.4,9.24,0.373,0.78,462.3932,True
8.0,7.4,8.31,0.373,0.789,462.7392,True
6.2,8.4,9.48,0.374,0.776,462.7779,True
7.6,7.4,8.92,0.372,0.783,463.053,True
7.8,7.4,8.61,0.372,0.786,463.1594,True
7.0,7.6,9.59,0.371,0.776,463.5897,True
4.4,8.8,10.97,0.372,0.763,463.6402,True
4.6,9.0,10.32,0.372,0.768,463.6812,True
4.2,8.6,11.65,0.371,0.757,464.2151,True
6.2,8.6,9.14,0.372,0.778,464.3047,True
6.4,8.2,9.53,0.371,0.775,464.5344,True
6.8,7.8,9.59,0.37,0.776,464.9407,True
3.4,7.6,15.28,0.375,0.726,465.1025,True
6.6,8.0,9.57,0.37,0.775,465.2506,True
6.2,8.8,8.82,0.371,0.78,465.2749,True
7.2,7.6,9.27,0.369,0.779,465.288,True
4.0,8.4,12.36,0.371,0.75,465.5065,True
6.2,9.0,8.5,0.371,0.783,465.683,True
2.8,6.8,18.57,0.376,0.706,466.2937,True
7.4,7.6,8.96,0.368,0.781,466.405,True
8.0,7.6,8.07,0.368,0.789,466.4266,True
6.4,8.4,9.2,0.369,0.777,466.4983,True
7.6,7.6,8.65,0.367,0.784,466.937,True
7.8,7.6,8.36,0.368,0.786,466.9424,True
7.0,7.8,9.28,0.367,0.778,467.1559,True
3.8,8.2,13.11,0.369,0.742,467.6368,True
6.6,8.2,9.25,0.367,0.777,467.7479,True
4.4,9.0,10.54,0.368,0.763,467.7698,True
6.4,8.6,8.88,0.367,0.779,467.8904,True
6.8,8.0,9.28,0.366,0.777,467.9718,True
6.4,8.8,8.57,0.366,0.782,468.7301,True
7.2,7.8,8.98,0.365,0.78,468.7314,True
3.2,7.4,16.14,0.372,0.718,468.8471,True
6.4,9.0,8.27,0.367,0.784,469.0261,True
4.2,8.8,11.19,0.367,0.756,469.4218,True
8.0,7.8,7.83,0.365,0.79,469.5238,True
6.6,8.4,8.93,0.365,0.779,469.5952,True
7.4,7.8,8.68,0.364,0.782,469.7397,True
7.0,8.0,8.98,0.363,0.779,470.0479,True
7.8,7.8,8.11,0.364,0.787,470.0853,True
7.6,7.8,8.39,0.363,0.785,470.1696,True
2.6,6.6,19.5,0.373,0.698,470.2922,True
6.8,8.2,8.97,0.363,0.779,470.3377,True
3.6,8.0,13.89,0.368,0.733,470.7515,True
6.6,8.6,8.63,0.363,0.781,470.8646,True
7.2,8.0,8.69,0.362,0.781,471.5237,True
6.6,8.8,8.33,0.363,0.783,471.5897,True
4.0,8.6,11.87,0.365,0.748,471.7495,True
6.6,9.0,8.04,0.363,0.785,471.8038,True
6.8,8.4,8.67,0.361,0.781,472.0548,True
8.0,8.0,7.6,0.362,0.791,472.0579,True
7.0,8.2,8.69,0.361,0.781,472.2879,True
7.4,8.0,8.41,0.361,0.784,472.4198,True
7.8,8.0,7.86,0.361,0.789,472.651,True
7.6,8.0,8.13,0.36,0.786,472.7658,True
6.8,8.6,8.37,0.36,0.783,473.2294,True
2.4,6.4,20.42,0.371,0.692,473.2481,True
3.0,7.2,17.02,0.368,0.709,473.5028,True
7.2,8.2,8.41,0.359,0.783,473.6698,True
6.8,8.8,8.09,0.36,0.785,473.8822,True
7.0,8.4,8.4,0.359,0.782,473.9328,True
4.2,9.0,10.74,0.363,0.756,473.961,True
6.8,9.0,7.81,0.36,0.787,474.0534,True
8.0,8.2,7.37,0.359,0.793,474.0771,True
3.4,7.8,14.69,0.365,0.724,474.4446,True
7.4,8.2,8.15,0.358,0.785,474.4841,True
7.8,8.2,7.62,0.358,0.79,474.672,True
3.8,8.4,12.59,0.363,0.74,474.7088,True
7.6,8.2,7.88,0.358,0.787,474.8224,True
7.0,8.6,8.12,0.358,0.784,475.0419,True
2.2,6.2,21.35,0.37,0.686,475.0962,True
7.2,8.4,8.14,0.357,0.785,475.2413,True
8.0,8.4,7.15,0.358,0.794,475.602,True
7.0,8.8,7.85,0.357,0.786,475.6426,True
7.0,9.0,7.59,0.358,0.789,475.7785,True
7.4,8.4,7.89,0.356,0.787,476.0399,True
7.8,8.4,7.39,0.357,0.791,476.1937,True
7.2,8.6,7.88,0.356,0.786,476.3066,True
7.6,8.4,7.64,0.356,0.789,476.3458,True
2.0,6.0,22.27,0.37,0.681,476.3628,True
8.0,8.6,6.94,0.357,0.795,476.7173,True
7.2,8.8,7.62,0.356,0.788,476.8855,True
7.2,9.0,7.37,0.356,0.79,477.035,True
1.6,5.6,24.08,0.372,0.673,477.042,True
1.8,5.8,23.18,0.371,0.676,477.0638,True
7.4,8.6,7.63,0.355,0.788,477.0869,True
7.8,8.6,7.16,0.356,0.793,477.2309,True
4.0,8.8,11.4,0.36,0.747,477.3632,True
7.6,8.6,7.39,0.355,0.791,477.3796,True
8.0,8.8,6.72,0.356,0.797,477.412,True
7.4,8.8,7.39,0.355,0.79,477.6566,True
8.0,9.0,6.52,0.356,0.798,477.7652,True
7.4,9.0,7.15,0.355,0.792,477.8226,True
7.8,8.8,6.94,0.355,0.795,477.8887,True
7.6,8.8,7.16,0.355,0.792,477.9655,True
7.8,9.0,6.72,0.355,0.796,478.1544,True
7.6,9.0,6.93,0.355,0.794,478.1944,True
3.6,8.2,13.34,0.361,0.731,478.3752,True
2.8,7.0,17.91,0.363,0.701,478.8355,True
3.2,7.6,15.53,0.362,0.715,478.8608,True
3.8,8.6,12.09,0.357,0.738,481.0709,True
4.0,9.0,10.94,0.356,0.746,482.1067,True
3.4,8.0,14.12,0.357,0.721,482.8093,True
2.6,6.8,18.82,0.359,0.694,483.4828,True
3.0,7.4,16.39,0.357,0.706,484.212,True
3.6,8.4,12.81,0.354,0.729,485.193,True
3.8,8.8,11.61,0.353,0.737,486.5502,True
2.4,6.6,19.74,0.356,0.687,487.1615,True
3.2,7.8,14.93,0.353,0.712,487.9152,True
2.2,6.4,20.66,0.355,0.68,489.7586,True
2.8,7.2,17.26,0.352,0.698,490.2058,True
3.4,8.2,13.57,0.35,0.72,490.2126,True
1.4,5.6,24.26,0.36,0.664,490.4687,True
2.0,6.2,21.57,0.356,0.675,491.0933,True
3.8,9.0,11.14,0.349,0.736,491.1807,True
3.6,8.6,12.3,0.349,0.728,491.356,True
1.6,5.8,23.38,0.358,0.666,491.5738,True
1.8,6.0,22.48,0.357,0.67,491.7139,True
3.0,7.6,15.76,0.348,0.703,493.9154,True
2.6,7.0,18.15,0.347,0.69,495.5115,True
3.2,8.0,14.35,0.345,0.711,496.0123,True
3.6,8.8,11.8,0.344,0.727,496.6717,True
3.4,8.4,13.02,0.344,0.719,496.8044,True
2.4,6.8,19.06,0.344,0.683,499.8735,True
2.8,7.4,16.62,0.341,0.695,500.4638,True
3.6,9.0,11.33,0.341,0.726,501.1454,True
3.0,7.8,15.16,0.339,0.701,502.6401,True
3.4,8.6,12.5,0.339,0.718,502.7316,True
3.2,8.2,13.78,0.338,0.709,503.1667,True
2.2,6.6,19.96,0.342,0.676,503.1714,True
1.4,5.8,23.55,0.347,0.657,504.6641,True
2.0,6.4,20.87,0.341,0.67,505.2739,True
1.6,6.0,22.67,0.344,0.66,505.7964,True
1.8,6.2,21.78,0.342,0.665,506.0081,True
